Date,Salesperson,Customer Name,Car Make,Car Model,Car Year,Sale Price,Commission Rate,Commission Earned
2025-02-01 00:00:00,Ann Hill,Michael Clark,Nissan,Civic,2019,31764,0.0867386564522608,2755.17
2025-08-06 00:00:00,Autumn Walker,Curtis Watson,Nissan,Altima,2016,18989,0.1467041544336272,2785.77
2024-11-05 00:00:00,Jaclyn Blake,Christopher Roberts,Honda,Civic,2019,49233,0.1316401437157204,6481.04
2024-12-26 00:00:00,Matthew Moore,Kevin Chavez,Nissan,Civic,2012,34522,0.0578425031374094,1996.84
2025-03-08 00:00:00,Robert Goodwin,Jessica Jackson,Honda,Silverado,2012,43112,0.0642412166338602,2769.57
2025-07-11 00:00:00,Marissa Mason,Ashley Jones,Nissan,Corolla,2013,44147,0.1112360366965852,4910.74
2025-08-06 00:00:00,Debbie Bush,Mrs. Crystal Brown,Honda,Civic,2010,40913,0.0686392832959522,2808.24
2025-02-23 00:00:00,Derrick Williams,Joseph Berry,Nissan,Silverado,2013,18538,0.1402439843264258,2599.84
2024-11-02 00:00:00,Amanda Weber,Mark Gonzales,Ford,Silverado,2011,47952,0.1208290266590193,5793.99
2025-03-31 00:00:00,Thomas Mccoy,Steven Williams,Honda,Altima,2018,42051,0.098291324987275,4133.25
2025-05-30 00:00:00,Timothy Chapman,John Stephens,Chevrolet,Silverado,2021,46195,0.1116300494518914,5156.75
2025-02-22 00:00:00,Timothy Allen,Jonathan Hill,Ford,Altima,2012,44864,0.1183306328987294,5308.79
2025-05-06 00:00:00,Roger Dickerson,Dennis Turner,Chevrolet,F-150,2021,35862,0.0654257580535307,2346.3
2025-04-18 00:00:00,Alyssa Cole,Jesse Dean,Ford,Civic,2021,27295,0.0548934253298747,1498.32
2025-01-04 00:00:00,Kristina Stuart,Tiffany Shepherd,Toyota,Altima,2015,18602,0.0547208547086752,1017.92
2025-08-17 00:00:00,David Gaines,Catherine Rogers,Toyota,Silverado,2016,42731,0.1170149672436269,5000.17
2025-08-10 00:00:00,Gregory Ramirez,Rhonda Jackson,Toyota,Civic,2018,11321,0.0981366812138675,1111.01
2025-02-18 00:00:00,Holly Ryan,Michael Allen,Nissan,Silverado,2017,13383,0.1188045642709083,1589.96
2025-05-06 00:00:00,Mrs. Lisa Harris,Jessica Young,Chevrolet,Corolla,2018,10829,0.1312342584935615,1421.14
2025-03-03 00:00:00,Kaitlin Myers,Melissa Short,Chevrolet,Corolla,2011,18142,0.1039562164010172,1885.97
2025-06-17 00:00:00,Michael Weaver,Deborah Soto,Ford,Silverado,2022,36597,0.0845786158653284,3095.32
2025-07-29 00:00:00,Jesse Gillespie,Mark Ellis,Honda,F-150,2021,36047,0.1219067466770144,4394.37
2024-12-31 00:00:00,Michael Reyes,Jeffrey Pennington,Nissan,F-150,2020,13835,0.0778334808884099,1076.83
2025-04-01 00:00:00,Joseph Hicks,Logan Allen,Nissan,Altima,2017,27828,0.0540501841097814,1504.11
2025-05-02 00:00:00,Stephanie Hill,Joseph Johnson,Nissan,F-150,2017,44673,0.0806209293528969,3601.58
2024-12-16 00:00:00,Sarah Garner,Patricia Mcclure,Toyota,Civic,2014,31199,0.0862074256094503,2689.59
2025-07-21 00:00:00,Tracy Harvey,Anna Gibbs,Ford,Altima,2020,14327,0.127790569561441,1830.86
2025-06-07 00:00:00,Connor Martinez,Rachel Smith DVM,Nissan,Altima,2014,43381,0.1012938321653885,4394.23
2025-02-08 00:00:00,Nancy Castro,Audrey Wright,Honda,Altima,2020,41682,0.1348312622700138,5620.04
2025-07-17 00:00:00,Kenneth Parker,Darren Moore,Nissan,F-150,2015,35400,0.1070545782721469,3789.73
2025-07-12 00:00:00,Katherine Pierce,Mary Christian,Chevrolet,Silverado,2012,23438,0.0757728294845486,1775.96
2025-01-14 00:00:00,Rebecca Hall,Jack Daniels,Honda,Silverado,2010,28617,0.1183402718112607,3386.54
2024-11-20 00:00:00,Eileen Martinez,Jessica Phillips,Toyota,Civic,2018,10121,0.1135073711075953,1148.81
2024-12-27 00:00:00,Sarah Stephens,Michele Brandt,Honda,Civic,2011,17765,0.0978504053061173,1738.31
2025-06-11 00:00:00,Lori Villa,Kristina Gardner,Nissan,Altima,2014,48979,0.1499915765063644,7346.44
2025-01-21 00:00:00,Michael Myers,Michelle Wood,Ford,Civic,2014,17914,0.1172532707549886,2100.48
2025-03-01 00:00:00,Scott Arnold,Robert Nelson,Chevrolet,Silverado,2018,22636,0.1352052807823915,3060.51
2025-07-24 00:00:00,Anna Odonnell,Tiffany Allen,Nissan,Altima,2010,18557,0.084113804069025,1560.9
2025-06-01 00:00:00,Angela Morse,John Rivera,Chevrolet,Corolla,2019,23386,0.1228142127344779,2872.13
2025-04-21 00:00:00,Victoria Dougherty,Brooke Peterson,Chevrolet,Corolla,2012,16516,0.1130774546275368,1867.59
2025-01-18 00:00:00,Nathan Mayo,Jon Sanchez,Chevrolet,Civic,2021,40345,0.0677815391444228,2734.65
2025-04-02 00:00:00,Mike Jackson,Seth Harris,Ford,Altima,2018,45453,0.0628203826012595,2855.37
2025-08-05 00:00:00,Adam Parker,Megan Gross,Nissan,F-150,2022,10611,0.0995621693110803,1056.45
2025-07-09 00:00:00,Andre Davis,Alexis White,Ford,Civic,2018,14502,0.0945730122443264,1371.5
2025-05-08 00:00:00,Caitlyn Roberson,Katie Brown,Toyota,Silverado,2020,15725,0.1294780106087443,2036.04
2025-02-24 00:00:00,Susan Harris,Linda Miller,Chevrolet,Silverado,2012,26278,0.1438853099368194,3781.02
2025-05-01 00:00:00,Eric Brown,Evelyn Chavez,Chevrolet,Silverado,2015,45107,0.0599196898092261,2702.8
2025-01-15 00:00:00,Donald Johnson,Virginia Smith,Toyota,Silverado,2017,14932,0.1331147839346506,1987.67
2024-11-01 00:00:00,John Fox,Kathleen Garcia,Nissan,Altima,2018,17601,0.0756128404239761,1330.86
2025-07-11 00:00:00,Christopher Jackson,Toni Richmond,Nissan,Silverado,2021,16731,0.1004199423234346,1680.13
2024-12-30 00:00:00,Brandon Johnson,Shane Goodman,Ford,F-150,2010,16883,0.052778289746119,891.06
2024-12-04 00:00:00,Katrina Fisher,Elizabeth Murray,Honda,Civic,2011,26955,0.087839743284567,2367.72
2025-04-24 00:00:00,Derrick Davis,Hayden Chase,Toyota,Silverado,2013,10348,0.126767593711316,1311.79
2025-02-20 00:00:00,Mrs. Elizabeth Griffin,Paul Edwards,Honda,F-150,2021,44930,0.1224103920184657,5499.9
2025-03-23 00:00:00,David Carter,Brandon Brown,Toyota,Civic,2014,42096,0.0809831151068819,3409.07
2025-01-02 00:00:00,Chad Peterson,Terry Williams,Honda,Altima,2019,14932,0.0670086803558547,1000.57
2025-07-07 00:00:00,Cristina Vazquez,Kayla Miller,Ford,Corolla,2018,11128,0.1008120134060113,1121.84
2025-02-18 00:00:00,Mike Elliott,Charles Clark,Chevrolet,Civic,2011,49118,0.102209973463831,5020.35
2025-06-13 00:00:00,Catherine Berry,Cynthia Wilson,Nissan,Civic,2020,11896,0.0558258252097872,664.1
2025-02-25 00:00:00,Mrs. Ann Maddox,Janice Burton,Nissan,Corolla,2017,31127,0.0896207288150196,2789.62
2025-01-03 00:00:00,Christopher Ramirez,Alexis Jackson,Ford,Civic,2010,44241,0.1349825341891428,5971.76
2025-07-16 00:00:00,Katherine Johnson,Christina Dickerson,Ford,Civic,2016,13971,0.105872500035986,1479.14
2025-02-10 00:00:00,Beverly Morris,Lisa Hill,Nissan,Civic,2013,38874,0.0715870312181645,2782.87
2024-12-07 00:00:00,John Williams,Tammy Chavez,Chevrolet,Civic,2015,40395,0.0903955541637425,3651.53
2024-11-26 00:00:00,Angela Brown,Joe Baldwin,Toyota,Silverado,2015,49791,0.1230232534241222,6125.45
2025-06-15 00:00:00,Gregory Fields,Derek Wu,Ford,Silverado,2013,16461,0.1271202875032356,2092.53
2025-03-11 00:00:00,Melissa Hunter,Rebecca Simmons,Nissan,Civic,2012,19662,0.1041211208840166,2047.23
2024-12-01 00:00:00,Kevin Weber,William Gutierrez,Toyota,Civic,2017,21982,0.149553206516314,3287.48
2024-12-24 00:00:00,Arthur Odom,Michelle Reynolds,Nissan,Corolla,2019,28738,0.0876575369856501,2519.1
2025-04-16 00:00:00,Natalie Snyder,Stephanie Baker,Ford,F-150,2017,24796,0.0716565843946154,1776.8
2025-03-11 00:00:00,Daniel Flores,Stephanie Evans,Toyota,Altima,2021,25335,0.1217615106785378,3084.83
2025-03-04 00:00:00,Jeremy Jenkins,Emily Williams,Toyota,F-150,2018,18115,0.0808680579997969,1464.92
2025-06-11 00:00:00,Tommy Brady,Fernando Jimenez,Honda,Altima,2022,49906,0.1205587864014574,6016.61
2025-03-31 00:00:00,Sierra Rodgers,Maria Clark,Toyota,F-150,2010,45744,0.1183201216666962,5412.44
2025-02-10 00:00:00,Nicholas Sims,Jenna Bennett,Ford,F-150,2021,41491,0.1488725584440108,6176.87
2025-02-24 00:00:00,Mark Garcia,Mr. Derek Hoffman,Nissan,Altima,2014,35474,0.0542542796970147,1924.62
2025-04-20 00:00:00,Jaclyn Reyes,Michael Todd,Nissan,Silverado,2014,48905,0.1277553486949853,6247.88
2025-05-04 00:00:00,Heather Kelly,Mary Williams,Chevrolet,Corolla,2014,41038,0.0804852409573985,3302.95
2025-08-15 00:00:00,Todd Jones,Mrs. Paula Morales MD,Ford,Silverado,2012,49005,0.1365683167047797,6692.53
2025-08-03 00:00:00,Kelly Graham,Beth Lopez,Ford,F-150,2011,10377,0.0921030692427265,955.75
2025-08-10 00:00:00,Joan Edwards,Timothy Taylor Jr.,Nissan,Silverado,2013,41508,0.0506941231629455,2104.21
2025-01-19 00:00:00,Dakota Warner,Victoria Lin,Honda,Silverado,2021,18924,0.057266250147017,1083.71
2025-01-28 00:00:00,Amy Soto,Paul Sampson,Ford,Corolla,2014,26546,0.1493484660021127,3964.6
2025-05-22 00:00:00,Nicole Hughes,Michael Peterson,Toyota,Civic,2015,35710,0.0962422927050172,3436.81
2025-02-05 00:00:00,Christine Santiago,Thomas Wolf,Toyota,Altima,2016,19792,0.1199168975234386,2373.4
2025-02-01 00:00:00,Richard Collins,David Adams,Toyota,Altima,2012,48240,0.0788504282174484,3803.74
2025-02-01 00:00:00,Kevin Pearson,Scott Johnson,Toyota,Altima,2012,32782,0.0555586793457537,1821.32
2025-01-23 00:00:00,Krista Villegas,David Mitchell,Toyota,Civic,2017,35938,0.0816531304786516,2934.45
2025-04-28 00:00:00,Charles Jenkins,Samuel Morales,Chevrolet,Civic,2013,17235,0.1096231269968018,1889.35
2025-07-18 00:00:00,Eric Esparza,Brian Keller,Toyota,Corolla,2015,33664,0.1395445027413736,4697.63
2025-03-08 00:00:00,Matthew Sanchez,Cynthia Carney,Honda,Silverado,2012,20189,0.1038736802112015,2097.11
2025-06-22 00:00:00,Micheal Cummings,Jermaine Bailey,Chevrolet,F-150,2011,22500,0.1054682623365046,2373.04
2024-12-20 00:00:00,Jonathan Reynolds,Daniel Smith,Honda,Civic,2010,30339,0.0741226049230739,2248.81
2024-11-29 00:00:00,Richard Stuart,Andrew Santiago,Honda,Altima,2019,43277,0.147343075170544,6376.57
2024-12-11 00:00:00,Aaron Jackson,Elizabeth Cox,Honda,Corolla,2017,19865,0.1325893865018378,2633.89
2024-12-03 00:00:00,Kiara Banks,Jonathan Daniels,Nissan,F-150,2016,33203,0.0926712502679848,3076.96
2025-07-23 00:00:00,Carrie Reynolds,Scott Barnett,Honda,Silverado,2020,37204,0.0787625255984655,2930.28
2025-02-10 00:00:00,Daniel Ryan,Shelia Barnett,Nissan,Corolla,2021,29902,0.0673091857505438,2012.68
2024-11-14 00:00:00,Darren Baker,James Rodriguez,Ford,Silverado,2021,35418,0.0554081191786336,1962.44
2025-02-26 00:00:00,William Gonzalez,Laurie Hendrix,Nissan,Corolla,2012,44200,0.068004055581867,3005.78
2025-02-24 00:00:00,Kevin Hernandez Jr.,Donna Davis,Toyota,F-150,2022,20268,0.058452412280491,1184.71
2025-01-24 00:00:00,Robert Acevedo,Olivia Hansen,Toyota,F-150,2015,36926,0.1342986511180232,4959.11
2025-02-01 00:00:00,Jeffrey Barnes,John Li,Nissan,Silverado,2016,19276,0.1071050227189985,2064.56
2025-04-03 00:00:00,Daniel King,Donald Baker,Nissan,Civic,2022,44410,0.0812810643389309,3609.69
2025-07-26 00:00:00,Joseph Jones,Timothy Kane,Nissan,Silverado,2016,29862,0.1049374245526431,3133.64
2025-05-26 00:00:00,James Williams,Mrs. Laura Wong,Ford,Silverado,2022,15835,0.1301068196577781,2060.24
2025-07-18 00:00:00,Scott White,James Schwartz,Chevrolet,Corolla,2016,44422,0.1365444944260665,6065.58
2024-12-09 00:00:00,Ryan Moreno,Jay Ball,Ford,Altima,2016,15020,0.0582755894690562,875.3
2025-05-12 00:00:00,James Tanner,Andres Perry,Chevrolet,F-150,2018,49620,0.0671289444583434,3330.94
2025-05-17 00:00:00,Jesse Reid,John Wagner,Toyota,Altima,2017,30811,0.0943942554390175,2908.38
2025-01-27 00:00:00,Jill Dillon,Nicole White,Toyota,Civic,2022,20228,0.0800894772093687,1620.05
2025-05-05 00:00:00,Scott Elliott,Miss Alexis Graham,Honda,Corolla,2011,21948,0.1196013171464979,2625.01
2025-06-10 00:00:00,Brandy Terrell,Olivia Fleming,Toyota,Altima,2018,27234,0.106506725622387,2900.6
2025-04-11 00:00:00,Raymond Byrd,Sarah Brewer,Honda,Silverado,2019,40448,0.0880331943302787,3560.77
2025-07-14 00:00:00,Sandra Guzman,Manuel Kirby,Ford,Silverado,2012,10329,0.1377635267530613,1422.96
2025-06-24 00:00:00,Kevin Kelley,Nicole Gonzalez,Toyota,Silverado,2018,28282,0.098526010968284,2786.51
2024-12-10 00:00:00,Tiffany Pierce,Robert Brown,Nissan,F-150,2018,10733,0.0958698720055831,1028.97
2025-05-04 00:00:00,David Bryant MD,Larry Wolf,Chevrolet,F-150,2014,24262,0.0871721190068577,2114.97
2024-12-15 00:00:00,Connor Freeman,Amanda Beck,Ford,Silverado,2019,24705,0.0726154651650338,1793.97
2025-05-21 00:00:00,Jessica Davis,Jessica Stone,Chevrolet,Altima,2014,10971,0.0593426208326153,651.05
2025-01-05 00:00:00,Patricia Kane,Jonathan Herrera,Toyota,Civic,2010,13141,0.0956949568663872,1257.53
2024-11-15 00:00:00,Zachary Williams,Marcus Campos,Honda,Corolla,2015,45604,0.1411238253021652,6435.81
2025-04-23 00:00:00,David Sutton,Nicholas Mcdaniel,Toyota,Altima,2015,18478,0.0571766900123092,1056.51
2025-06-24 00:00:00,Kayla Sampson,Billy Harmon,Honda,Corolla,2010,21671,0.1314404605010676,2848.45
2025-06-10 00:00:00,Kyle Ross,Darlene Green,Chevrolet,Altima,2012,46836,0.0735898815348172,3446.66
2024-11-20 00:00:00,Ronald Murray,Jennifer Day,Nissan,Corolla,2015,48540,0.1110526044203171,5390.49
2025-01-09 00:00:00,Jonathan Carney,Mark Hall,Nissan,F-150,2015,31248,0.1318383241518529,4119.68
2025-01-08 00:00:00,Michael Garrison,Taylor Rodriguez,Nissan,Corolla,2013,29974,0.1344529253775018,4030.09
2024-11-07 00:00:00,Renee Moore,Brian Roth,Chevrolet,Civic,2010,42330,0.1170919168173945,4956.5
2025-02-24 00:00:00,Colleen Morrison,Scott Brooks,Chevrolet,F-150,2010,16652,0.0872106361143662,1452.23
2025-04-13 00:00:00,Peter Jacobson,Roberto Jones,Nissan,Silverado,2022,10998,0.0756897192781546,832.44
2025-01-24 00:00:00,Samantha Price,Michael Hernandez,Toyota,Civic,2013,49630,0.1416325593881654,7029.22
2025-05-20 00:00:00,Carla Vaughn,Kelly Hughes,Toyota,Silverado,2014,25638,0.0993089505932025,2546.08
2025-06-03 00:00:00,Emily Williams,Glenda Carter,Honda,F-150,2020,21693,0.0921570402419302,1999.16
2025-05-13 00:00:00,Jessica White,Mrs. Kathleen Jones DDS,Ford,Civic,2020,25778,0.0739501981808848,1906.29
2025-02-24 00:00:00,Allen Maynard,Corey Munoz,Toyota,Altima,2017,20224,0.1251107963124247,2530.24
2025-02-01 00:00:00,Andrew Hernandez,Thomas Hardy,Chevrolet,Civic,2022,13142,0.104552444875231,1374.03
2025-05-23 00:00:00,Craig Suarez,John Mendoza,Honda,Silverado,2022,36553,0.0805301424306476,2943.62
2024-12-07 00:00:00,Matthew Rice,Rebecca Williams,Nissan,F-150,2014,40591,0.1369597202419182,5559.33
2025-02-05 00:00:00,Austin Smith,Patricia Hernandez,Honda,Civic,2015,28913,0.0522849683289761,1511.72
2025-05-28 00:00:00,Michaela Nguyen,Tracy Flores,Nissan,Altima,2013,47783,0.1415949283372279,6765.83
2025-04-25 00:00:00,Evan Carpenter,Willie Mcclain,Honda,Civic,2015,10269,0.109279677977897,1122.19
2025-07-19 00:00:00,Amy Lopez,Keith Kelly,Toyota,Corolla,2015,45570,0.1263251795059239,5756.64
2025-03-29 00:00:00,Earl Ross,Jeremy Alexander,Toyota,Altima,2021,22431,0.064357577693087,1443.6
2024-12-19 00:00:00,Nicholas Harrison,Gail Lucero,Toyota,F-150,2015,11647,0.1023622050881718,1192.21
2024-11-18 00:00:00,Janice Wilson,Mallory Delacruz,Chevrolet,F-150,2014,41735,0.1230481351587677,5135.41
2024-12-02 00:00:00,Max Nielsen,Joshua Munoz,Ford,F-150,2017,32216,0.1103806534298718,3556.02
2025-08-10 00:00:00,Raymond Smith,Penny Freeman,Toyota,Civic,2019,23854,0.1442271206538588,3440.39
2024-12-18 00:00:00,Robert Charles Jr.,Willie Mcdonald,Nissan,Corolla,2012,21350,0.0794210950197671,1695.64
2024-11-26 00:00:00,Jennifer Mcdonald,Angela Mitchell,Chevrolet,Civic,2022,17075,0.1408538554673283,2405.08
2024-11-26 00:00:00,Kenneth Madden,Heather Clark,Ford,Corolla,2015,26235,0.0600541539134013,1575.52
2024-11-16 00:00:00,Laura Wilson,Madeline Ross,Chevrolet,Altima,2012,37491,0.1267127812252893,4750.59
2025-03-28 00:00:00,Mackenzie Walters,Cory Brown,Honda,Corolla,2020,14197,0.0762183109376997,1082.07
2025-06-09 00:00:00,Danielle Freeman,Mary Wright,Chevrolet,Civic,2018,22410,0.0604595160915648,1354.9
2025-04-22 00:00:00,Grant Fisher,Wendy Taylor,Toyota,F-150,2019,29073,0.0530495951302009,1542.31
2025-04-29 00:00:00,Eduardo Goodwin,Lisa Schaefer,Chevrolet,F-150,2017,20203,0.0858516142049167,1734.46
2024-12-07 00:00:00,Michelle Kim,Abigail Watson,Nissan,Corolla,2012,35195,0.1016266490217878,3576.75
2025-07-24 00:00:00,Monica Watson,Susan Garcia,Nissan,Civic,2013,39193,0.1466892072003814,5749.19
2025-03-25 00:00:00,Tabitha Gardner,James Allen,Chevrolet,Civic,2016,37181,0.1370652524415886,5096.22
2025-06-29 00:00:00,Steven Shepherd III,Jonathan Moore,Honda,Silverado,2019,39700,0.1155736955634678,4588.28
2025-04-06 00:00:00,Katherine Terry,Elizabeth Whitehead,Toyota,Corolla,2016,10208,0.0728084291238371,743.23
2025-04-13 00:00:00,Kristin Myers,Craig Herman,Chevrolet,Civic,2016,47624,0.1344911858997333,6405.01
2024-12-15 00:00:00,Brianna Gordon,Ryan Brown,Honda,Civic,2016,37769,0.0722431525666189,2728.55
2025-06-19 00:00:00,Danielle Snyder,Mary Rogers,Toyota,Corolla,2018,37011,0.110061896225362,4073.5
2024-12-01 00:00:00,Megan Martin,Loretta Goodwin,Nissan,F-150,2019,25976,0.0967614703863775,2513.48
2025-05-30 00:00:00,Jessica Bradshaw,Joshua Clark,Honda,Altima,2021,47784,0.1448292473911276,6920.52
2025-06-22 00:00:00,Zachary Mcguire,Cynthia Fuller,Honda,Altima,2013,48356,0.0611745316675687,2958.16
2024-11-02 00:00:00,Cody Clay MD,Jason Waters,Toyota,Corolla,2015,42015,0.1492794838199358,6271.98
2025-06-11 00:00:00,Ashley Clark,Mr. Benjamin Black DVM,Chevrolet,Silverado,2017,39856,0.1473040833900092,5870.95
2024-12-02 00:00:00,Sandra Welch,Richard Murphy,Nissan,Silverado,2021,44317,0.1182501087627384,5240.49
2025-03-11 00:00:00,Victoria Hahn,Gregory Brown,Nissan,Silverado,2014,37116,0.1420937054841075,5273.95
2025-03-10 00:00:00,Kathleen Gonzalez,Tracy Erickson,Nissan,Silverado,2010,35727,0.1449207297472454,5177.58
2025-05-12 00:00:00,Sophia Cooper,Kelly Mitchell,Honda,Corolla,2016,13240,0.0970779160492404,1285.31
2025-03-15 00:00:00,Larry Lynch,Mrs. Desiree Lowe,Honda,Corolla,2018,15336,0.1283492517278879,1968.36
2024-12-18 00:00:00,Shane Allen,Lance Hughes,Toyota,Silverado,2022,32949,0.0527428340301345,1737.82
2024-12-30 00:00:00,Miss Mary Harrell,Theresa Meyer,Honda,Silverado,2013,35372,0.0633539395465575,2240.96
2025-01-16 00:00:00,Julie Jacobs,Rachel Chavez,Chevrolet,Civic,2021,15129,0.0546546696690746,826.87
2025-08-22 00:00:00,Dr. Stephen Bowers,Michael Martin,Chevrolet,Silverado,2011,14242,0.1409704445636888,2007.7
2025-06-19 00:00:00,Theresa Walker,Kaitlyn Payne,Honda,Corolla,2019,18736,0.0604466499918275,1132.53
2025-02-11 00:00:00,Megan Weiss,Steven Simpson,Chevrolet,F-150,2012,33104,0.0857722427758434,2839.4
2025-08-04 00:00:00,Eric Torres,Anna Jones,Chevrolet,Silverado,2019,32971,0.0596018281699118,1965.13
2025-07-28 00:00:00,Linda Quinn,April Rodriguez,Nissan,Corolla,2013,16012,0.1374346213884151,2200.6
2024-12-08 00:00:00,Kaitlyn Garza,Laura Reyes,Chevrolet,Silverado,2014,18046,0.0583461516466547,1052.91
2025-05-23 00:00:00,Craig Sutton,Joshua Hernandez,Nissan,Altima,2014,35079,0.0983488296753248,3449.98
2025-03-16 00:00:00,Zachary Briggs,Jessica Turner,Honda,Silverado,2017,29383,0.1254290193895551,3685.48
2024-12-11 00:00:00,Tony Williams,Dorothy Salas,Honda,Corolla,2012,39034,0.0513045155346245,2002.62
2025-01-23 00:00:00,Michelle Powell,Gabrielle Stark,Toyota,Corolla,2021,41997,0.092346805164571,3878.29
2025-08-10 00:00:00,Ashley Greene,Kelly Bond,Ford,Altima,2020,30822,0.1031497449001931,3179.28
2024-11-12 00:00:00,Lindsey Harrison,Cory Patel,Nissan,Silverado,2021,39400,0.0583991123168022,2300.93
2025-07-30 00:00:00,Lisa Fitzpatrick,Tanner Pierce,Ford,F-150,2022,14081,0.1112053399020242,1565.88
2025-06-17 00:00:00,Micheal Moore,Gloria Carlson,Chevrolet,Silverado,2013,41319,0.1399244198510137,5781.54
2025-04-24 00:00:00,Matthew Diaz,Timothy Lindsey,Chevrolet,Altima,2022,48218,0.1478439240292007,7128.74
2025-04-21 00:00:00,Steven Ross,Thomas Stein,Ford,Altima,2011,11497,0.1087924766529735,1250.79
2025-03-20 00:00:00,Jacob Joseph,Victor Li,Toyota,Altima,2016,16459,0.0537447814144648,884.59
2025-05-27 00:00:00,Susan Herrera,Mr. Brian Bowen Jr.,Ford,Silverado,2016,22038,0.0891586116033766,1964.88
2025-04-28 00:00:00,Lauren Anderson,Janice Calderon,Chevrolet,F-150,2020,45040,0.0869092911882502,3914.39
2025-06-22 00:00:00,Stephen Rivera,John Bennett,Chevrolet,Silverado,2021,23737,0.0904797029387454,2147.72
2025-01-02 00:00:00,Scott Wolfe,Kelly Buckley,Nissan,Civic,2015,25403,0.1048670201182462,2663.94
2024-12-02 00:00:00,Mr. Casey Owen,Nancy Anderson,Honda,Silverado,2020,24910,0.1063144664460196,2648.29
2024-11-10 00:00:00,Jason Martin,Stacey Gill,Honda,Civic,2018,10273,0.1488497734592977,1529.13
2025-02-22 00:00:00,Patrick Foley,Debra Brown,Ford,Civic,2021,19887,0.0509466944575008,1013.18
2024-11-23 00:00:00,Charles Garcia,Jessica Glass,Chevrolet,Silverado,2011,49015,0.1391986629185201,6822.82
2025-01-23 00:00:00,Mary Bennett,Scott Rangel,Honda,Silverado,2019,38969,0.053017529347786,2066.04
2025-04-05 00:00:00,Rachel Costa,Mrs. Elizabeth Mullen,Ford,Silverado,2021,46516,0.085276643627104,3966.73
2025-07-12 00:00:00,Sarah Harris,Shelby Walsh,Toyota,Silverado,2017,20562,0.0561067319043334,1153.67
2024-12-28 00:00:00,Regina Osborne,Christopher Stein,Chevrolet,Altima,2017,39162,0.0817820152382697,3202.75
2024-12-06 00:00:00,Megan Phillips,Hunter Leon,Chevrolet,Silverado,2012,30558,0.0737874180497852,2254.8
2024-12-08 00:00:00,Gary Robinson,Ashley Bell,Chevrolet,Corolla,2012,26619,0.068173400955341,1814.71
2025-03-04 00:00:00,Bethany Johnson,Dwayne Wilkerson,Ford,Silverado,2022,33171,0.0599730668043438,1989.37
2025-07-02 00:00:00,Vincent Jarvis,Troy Tran,Chevrolet,Civic,2013,29336,0.1321819996424149,3877.69
2025-01-15 00:00:00,Heather Adkins,Laura Taylor,Honda,Corolla,2011,32144,0.0677914360623994,2179.09
2025-01-27 00:00:00,Colin Wright,Donald Morton,Ford,Civic,2017,43511,0.1473689990339411,6412.17
2025-05-07 00:00:00,Lawrence Contreras,Alexander Green,Toyota,F-150,2012,15888,0.1065132149775264,1692.28
2025-06-25 00:00:00,Amy Ramirez MD,Michael Franklin II,Chevrolet,Civic,2010,36047,0.0767439731467654,2766.39
2024-12-14 00:00:00,Andrea Wallace,Logan Hunt,Nissan,Silverado,2016,44330,0.0994832405294971,4410.09
2025-04-10 00:00:00,Andrew Sandoval,Paige Harmon,Chevrolet,Altima,2014,17319,0.098779790082509,1710.77
